管理單位,站名,站號,觀測日期,0時(cms),1時(cms),2時(cms),3時(cms),4時(cms),5時(cms),6時(cms),7時(cms),8時(cms),9時(cms),10時(cms),11時(cms),12時(cms),13時(cms),14時(cms),15時(cms),16時(cms),17時(cms),18時(cms),19時(cms),20時(cms),21時(cms),22時(cms),23時(cms),時平均流量(cms)
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/1 上午 12:00:00,14.68,14.68,14.68,14.68,14.68,14.68,14.68,14.25,14.68,14.68,14.68,14.25,14.68,14.68,14.25,14.25,14.68,14.68,14.68,14.68,14.68,14.68,14.68,14.68,14.61
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/2 上午 12:00:00,14.68,14.68,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.55,15.55,15.55,15.55,15.11,15.55,15.55,15.55,15.55,15.55,15.55,15.55,15.98,15.98,15.98,15.40
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/3 上午 12:00:00,16.42,16.42,16.42,16.42,16.42,16.42,16.42,16.42,15.98,15.98,15.98,15.98,16.42,16.42,15.98,15.55,15.98,15.98,15.98,15.55,15.55,15.55,15.55,15.98,16.07
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/4 上午 12:00:00,15.98,15.55,15.55,15.55,15.11,15.55,15.11,15.11,15.11,15.11,15.11,15.11,15.55,15.11,15.11,15.55,15.11,15.11,15.11,15.11,15.11,15.11,14.68,14.68,15.20
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/5 上午 12:00:00,15.11,14.68,14.68,15.11,15.11,14.68,14.68,15.11,14.68,15.11,15.11,15.11,15.11,15.11,15.11,15.11,14.68,14.68,14.68,14.68,14.68,14.68,14.68,14.68,14.87
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/6 上午 12:00:00,14.68,14.68,14.68,14.25,14.25,14.25,14.25,14.25,14.68,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,13.81,13.81,14.28
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/7 上午 12:00:00,14.25,14.25,14.25,14.25,14.25,14.68,14.68,14.25,14.25,14.25,14.25,14.25,14.68,14.25,14.25,14.25,14.25,14.25,13.81,14.25,14.68,14.25,14.25,14.25,14.30
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/8 上午 12:00:00,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,13.81,13.81,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.21
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/9 上午 12:00:00,14.68,14.68,14.68,14.68,14.68,14.68,14.68,14.68,15.11,14.68,14.68,14.68,14.68,15.11,14.68,14.68,14.68,14.25,14.68,14.68,14.68,14.68,14.68,14.68,14.70
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/10 上午 12:00:00,13.81,13.81,13.81,14.25,13.81,13.81,13.81,13.81,13.81,14.25,14.25,14.25,14.25,14.25,13.38,12.51,12.94,12.94,14.25,13.81,14.25,13.81,14.25,13.81,13.83
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/11 上午 12:00:00,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.81,13.38,13.38,13.38,13.38,13.38,13.81,13.38,13.38,13.38,13.38,13.81,13.38,13.44
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/12 上午 12:00:00,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.51,12.94,13.38,12.94,13.38,12.94,12.94,12.94,12.94,12.51,12.94,12.94,12.94,12.94,12.94,12.94,12.94
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/13 上午 12:00:00,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.16,12.16,12.16,12.16,12.16,12.16,12.16,12.51,12.16,12.51,12.39
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/14 上午 12:00:00,12.16,11.80,12.16,12.16,12.16,12.16,11.80,12.16,11.80,11.80,11.80,12.16,12.16,11.45,10.03,10.39,10.39,10.39,10.39,10.39,10.03,10.39,10.03,10.39,11.25
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/15 上午 12:00:00,10.03,10.03,10.03,10.03,10.03,10.03,9.68,9.68,10.03,10.03,9.68,7.82,7.54,7.54,7.54,7.54,7.25,7.54,7.54,7.25,7.54,7.54,7.54,7.54,8.60
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/16 上午 12:00:00,7.25,7.54,7.54,7.82,7.82,7.82,7.82,8.11,7.82,8.11,8.11,8.11,8.11,8.68,8.40,8.40,8.40,8.40,8.68,8.40,8.68,8.40,8.40,8.40,8.15
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/17 上午 12:00:00,8.40,8.40,8.40,8.40,8.11,8.11,8.40,8.11,8.11,8.40,8.40,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.40,8.11,8.20
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/18 上午 12:00:00,8.11,8.11,8.11,8.11,8.40,8.40,8.40,8.40,8.40,8.40,8.11,8.40,8.40,8.40,8.40,8.40,8.40,8.40,8.40,8.40,8.11,8.11,8.11,8.11,8.30
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/19 上午 12:00:00,8.40,8.40,8.40,8.40,8.40,8.40,8.40,8.40,8.11,8.11,8.40,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.40,8.23
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/20 上午 12:00:00,8.40,8.40,8.40,8.68,8.40,8.40,8.40,8.40,8.40,8.40,8.68,8.40,8.68,8.40,8.68,8.68,8.68,8.97,9.32,9.68,9.32,9.68,10.03,10.03,8.82
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/21 上午 12:00:00,10.39,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,11.09,10.74,11.09,11.45,11.09,11.45,11.45,11.45,10.90
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/22 上午 12:00:00,11.80,12.16,12.16,11.80,11.45,11.45,11.09,10.74,10.74,10.74,10.39,10.39,10.03,10.03,10.03,10.03,10.03,9.68,10.03,10.03,9.68,9.68,9.68,9.68,10.54
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/23 上午 12:00:00,10.39,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,9.68,10.03,9.68,9.68,9.68,9.98
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/24 上午 12:00:00,10.03,10.03,10.39,10.39,10.39,10.03,10.03,10.03,10.39,10.03,10.39,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.11
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/25 上午 12:00:00,10.39,10.39,10.39,10.39,10.39,10.39,10.03,10.03,10.39,10.39,10.39,10.39,10.39,10.39,10.39,10.39,10.03,10.39,10.03,10.03,10.39,10.03,10.39,10.39,10.30
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/26 上午 12:00:00,10.74,10.39,10.74,10.39,10.74,10.74,10.39,10.39,10.39,10.39,10.39,10.39,10.39,10.39,10.74,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.39,10.33
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/27 上午 12:00:00,10.39,10.74,10.39,10.39,10.74,10.39,10.39,10.39,10.39,10.74,10.39,10.39,10.39,10.39,10.39,10.39,10.39,10.39,10.03,10.39,10.39,10.39,10.39,10.39,10.42
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/28 上午 12:00:00,10.74,10.39,10.74,10.74,10.74,10.74,10.74,10.39,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.39,10.39,10.74,10.39,10.74,10.39,10.39,10.39,10.39,10.61
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/29 上午 12:00:00,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.39,10.39,10.74,10.39,10.39,10.74,10.39,10.74,10.74,10.67
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/30 上午 12:00:00,11.09,11.09,11.09,11.09,10.74,10.74,11.09,11.09,10.74,10.74,11.09,11.09,11.09,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.39,10.74,10.85
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/1/31 上午 12:00:00,11.09,11.09,11.09,11.09,11.09,11.09,10.74,11.09,10.74,11.09,11.09,11.09,11.09,11.09,11.09,11.09,10.74,11.09,11.09,11.09,11.09,10.74,10.74,11.09,11.02
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/1 上午 12:00:00,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.45,11.09,11.45,11.45,10.39,10.39,10.39,10.39,10.39,10.39,10.39,10.39,10.74,10.74,10.74,10.74,10.84
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/2 上午 12:00:00,11.09,10.74,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,10.74,11.09,11.09,11.09,11.09,11.09,11.09,10.74,10.74,11.09,10.74,11.02
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/3 上午 12:00:00,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.45,11.09,11.45,11.45,11.45,11.45,11.45,11.09,11.09,11.09,11.09,11.45,11.45,11.09,11.21
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/4 上午 12:00:00,11.45,11.45,11.45,11.45,11.45,11.80,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.80,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.80,11.50
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/5 上午 12:00:00,11.80,11.80,12.16,11.80,11.80,11.80,11.80,11.80,11.80,11.80,11.80,11.80,11.80,11.80,11.80,11.80,11.45,11.80,11.80,11.80,11.80,11.80,11.80,11.45,11.79
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/6 上午 12:00:00,11.45,11.80,11.80,11.80,11.80,11.80,11.80,11.45,11.45,11.80,11.80,11.80,11.80,11.80,11.80,11.80,11.80,11.80,11.80,11.45,11.45,11.45,11.45,11.45,11.69
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/7 上午 12:00:00,12.16,12.16,12.16,12.51,12.51,12.51,12.16,12.16,12.51,12.51,12.51,12.51,12.51,12.16,12.51,12.51,12.51,12.16,12.16,12.16,12.16,12.16,12.16,12.16,12.32
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/8 上午 12:00:00,12.51,12.51,12.51,12.94,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.51,12.94,12.51,12.51,12.94,12.51,12.51,12.51,12.56
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/9 上午 12:00:00,12.94,12.94,13.38,13.38,12.94,12.94,12.94,13.38,12.94,13.38,12.94,12.94,13.38,13.38,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,13.05
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/10 上午 12:00:00,13.38,13.38,13.38,13.38,13.38,13.81,13.81,13.81,13.38,13.38,13.38,13.38,13.81,13.81,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.38,13.47
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/11 上午 12:00:00,13.81,13.81,13.81,13.81,13.81,14.25,13.81,13.81,13.81,13.81,13.81,13.81,13.81,13.81,13.81,13.38,13.81,13.81,13.81,13.81,13.81,13.81,13.81,13.81,13.81
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/12 上午 12:00:00,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.25,14.68,14.25,14.68,14.25,14.68,14.25,14.25,14.25,14.68,14.25,14.25,14.25,14.25,14.25,14.25,14.32
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/13 上午 12:00:00,14.68,14.68,14.68,14.68,14.68,14.68,14.68,14.68,14.68,15.11,15.11,14.68,14.68,14.68,14.68,14.68,14.68,14.25,14.68,14.68,14.25,14.68,14.68,14.25,14.66
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/14 上午 12:00:00,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.55,15.11,15.11,15.55,15.11,15.11,15.11,15.11,15.11,15.11,15.11,14.68,15.11,15.11,15.11,15.13
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/15 上午 12:00:00,15.55,15.55,15.55,15.55,15.55,15.55,15.55,15.55,15.55,15.98,15.98,15.98,15.98,15.98,15.98,15.98,14.68,14.68,14.68,14.68,14.68,14.68,14.68,14.68,15.38
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/16 上午 12:00:00,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.11,15.55,15.55,15.11,15.11,15.11,15.11,15.55,15.11,15.55,15.55,15.55,15.55,15.24
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/17 上午 12:00:00,15.98,15.98,15.98,15.98,15.98,15.98,15.98,15.98,15.98,15.98,15.98,15.98,15.98,15.98,15.98,15.98,15.98,15.98,15.98,15.55,15.98,15.55,15.55,15.55,15.91
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/18 上午 12:00:00,16.42,16.85,16.85,16.85,16.85,16.85,16.85,16.85,16.42,16.85,16.85,16.85,17.34,17.34,17.34,17.34,17.83,18.33,19.31,19.31,19.31,19.80,19.31,19.31,17.66
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/19 上午 12:00:00,18.33,18.33,18.33,18.33,18.33,18.33,18.33,17.34,17.83,17.34,17.34,17.83,17.34,15.98,21.28,21.28,14.68,13.81,14.25,14.25,13.81,13.81,13.81,13.81,16.81
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/20 上午 12:00:00,12.94,12.94,12.94,12.51,12.94,12.94,12.94,12.51,12.94,13.38,13.38,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.94,12.51,12.94,12.94,12.51,12.51,12.89
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/21 上午 12:00:00,11.80,11.80,11.80,11.80,11.80,11.80,11.80,11.80,12.16,12.16,12.16,12.16,12.16,11.80,12.16,12.16,12.16,12.16,12.16,11.80,11.80,11.80,11.45,11.80,11.94
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/22 上午 12:00:00,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.45,11.45,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.09,11.45,11.45,11.45,11.09,11.45,11.18
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/23 上午 12:00:00,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.39,10.74,10.74,10.39,10.39,10.39,10.74,10.39,10.39,10.39,10.39,10.62
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/24 上午 12:00:00,9.68,9.68,9.68,9.68,9.68,10.03,9.68,9.68,9.68,9.68,9.68,9.68,10.03,9.68,9.68,9.68,10.03,10.03,10.03,10.03,10.03,10.03,10.39,10.74,9.87
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/25 上午 12:00:00,10.03,10.03,10.03,10.03,10.03,10.03,10.39,10.03,10.03,10.39,10.03,10.03,10.03,10.03,10.03,10.03,10.03,9.68,9.68,10.03,10.03,10.03,10.03,10.03,10.03
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/26 上午 12:00:00,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,10.03,9.68,10.03,9.68,9.68,9.68,9.68,9.68,9.68,9.93
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/27 上午 12:00:00,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.68,9.68,9.68,9.68,9.68,9.68,10.03,9.68,9.68,9.68,9.68,9.68,9.68,10.03,9.56
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/2/28 上午 12:00:00,9.68,9.32,9.32,9.68,9.68,9.32,9.32,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.68,9.62
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/1 上午 12:00:00,9.32,9.32,9.32,9.32,9.32,9.68,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.34
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/2 上午 12:00:00,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,9.32,9.32,9.32,9.32,9.32,9.32,8.97,8.97,8.97,8.97,9.32,8.97,8.97,8.97,9.07
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/3 上午 12:00:00,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.68,8.97,8.68,8.68,8.68,8.68,8.80
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/4 上午 12:00:00,8.68,8.68,8.68,8.68,8.68,8.97,8.97,8.68,8.97,8.97,8.97,8.97,8.97,9.32,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.92
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/5 上午 12:00:00,8.97,8.68,8.68,8.68,8.97,8.68,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.97,8.68,8.97,8.68,8.68,8.68,8.68,8.68,8.68,8.83
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/6 上午 12:00:00,8.68,8.68,8.68,8.97,8.68,8.68,8.68,8.68,8.97,8.97,8.97,9.32,9.68,9.68,9.68,9.68,9.68,9.68,9.32,9.68,9.68,9.68,9.68,9.68,9.25
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/7 上午 12:00:00,9.68,10.03,10.03,10.03,10.74,10.74,10.74,11.09,11.09,11.45,12.16,12.16,12.16,12.51,12.94,13.38,13.38,13.81,15.11,15.55,15.98,16.85,17.34,18.33,12.87
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/8 上午 12:00:00,18.33,18.33,18.33,18.33,18.33,17.83,17.34,17.83,17.83,18.33,18.82,18.82,19.31,19.80,20.29,21.28,21.77,22.41,23.68,24.95,25.58,25.58,25.58,25.58,20.64
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/9 上午 12:00:00,24.95,24.31,24.31,23.68,23.68,23.04,22.41,22.41,21.77,22.41,21.77,21.77,22.41,22.41,21.77,21.77,21.77,21.77,21.77,21.28,21.28,21.28,21.28,20.79,22.28
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/10 上午 12:00:00,20.79,20.29,20.79,20.79,20.79,21.28,21.28,21.28,21.77,21.77,23.68,24.31,24.31,24.31,24.31,24.31,24.31,24.31,24.31,24.31,24.31,23.68,24.31,24.31,22.96
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/11 上午 12:00:00,24.95,25.58,25.58,26.22,26.22,26.22,26.85,26.22,26.22,26.22,25.58,24.95,24.95,24.31,24.95,25.58,25.58,25.58,25.58,25.58,25.58,25.58,25.58,25.58,25.65
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/12 上午 12:00:00,24.31,24.31,23.68,24.31,23.68,23.68,23.68,22.41,22.41,22.41,22.41,22.41,22.41,21.77,21.77,21.28,20.79,21.28,21.28,21.28,21.28,21.28,21.28,20.79,22.30
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/13 上午 12:00:00,20.79,20.29,20.29,20.79,20.79,20.29,19.80,20.29,20.29,19.80,19.80,19.31,19.31,18.82,16.85,15.98,15.98,15.98,15.55,15.98,15.55,15.55,15.55,15.55,18.25
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/14 上午 12:00:00,15.55,15.55,15.55,15.55,15.55,15.55,15.55,15.11,15.11,14.68,14.68,14.68,15.11,15.11,14.68,14.68,14.68,14.68,14.25,14.68,14.25,14.25,14.25,13.81,14.88
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/15 上午 12:00:00,13.81,14.25,13.81,14.25,13.81,13.81,13.81,14.25,14.25,14.25,14.25,14.68,14.25,14.25,14.68,14.68,14.25,14.25,14.25,13.81,14.25,13.81,13.81,13.81,14.15
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/16 上午 12:00:00,14.25,14.25,14.25,14.25,13.81,14.25,14.25,14.68,14.25,14.68,14.68,14.25,14.25,14.25,14.25,14.25,14.25,13.81,13.81,13.81,13.81,13.81,13.81,13.38,14.14
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/17 上午 12:00:00,13.38,13.38,13.81,13.81,13.38,13.38,13.38,13.38,13.38,13.81,13.81,13.38,13.81,13.81,13.81,13.81,14.25,14.25,13.81,13.81,14.25,13.81,13.81,13.81,13.73
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/18 上午 12:00:00,13.38,13.81,13.38,13.38,12.94,13.38,12.94,12.94,13.38,12.16,11.80,11.80,11.80,11.80,11.45,11.80,11.80,11.45,11.45,11.45,11.45,11.09,11.45,11.45,12.21
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/19 上午 12:00:00,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/20 上午 12:00:00,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.80,11.45,11.45,11.45,11.45,11.45,11.45,11.09,11.09,11.45,11.43
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/21 上午 12:00:00,11.09,11.09,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.45,11.09,11.09,11.09,11.09,10.74,11.09,11.32
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/22 上午 12:00:00,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/23 上午 12:00:00,10.74,10.74,10.74,10.74,10.74,10.74,10.39,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.39,10.39,10.39,10.39,10.67
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/24 上午 12:00:00,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.39,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,10.74,11.09,10.74,11.09,11.09,11.09,10.78
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/25 上午 12:00:00,10.74,10.74,10.39,10.74,10.74,10.39,10.03,10.03,10.74,10.39,10.74,10.74,10.74,10.39,10.39,10.74,10.39,10.39,10.03,10.03,10.03,10.03,10.03,10.39,10.41
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/26 上午 12:00:00,9.68,10.03,10.03,9.68,9.68,9.32,9.68,9.68,9.68,9.68,9.32,9.32,9.68,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.50
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/27 上午 12:00:00,9.32,9.32,9.32,9.32,9.32,9.32,9.32,9.32,11.09,12.16,10.03,10.03,10.03,11.09,9.68,8.40,8.11,8.40,8.11,8.11,8.11,8.11,8.11,8.11,9.26
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/28 上午 12:00:00,7.82,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.40,8.68,8.68,8.68,8.68,8.40,8.40,8.40,8.40,8.11,8.40,8.11,8.11,8.11,8.11,8.11,8.28
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/29 上午 12:00:00,7.82,7.82,7.54,7.82,7.82,7.82,7.82,7.82,7.82,8.11,8.11,8.11,8.11,8.11,8.11,7.82,7.25,7.54,7.82,8.11,8.11,8.11,8.11,7.82,7.90
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/30 上午 12:00:00,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,8.11,8.11,8.11,8.11,8.40,8.11,8.11,8.11,8.11,8.11,8.11,7.82,7.97
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/3/31 上午 12:00:00,8.11,8.11,7.82,8.11,7.82,7.82,7.82,7.82,7.82,8.11,8.11,7.82,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.02
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/4/1 上午 12:00:00,7.82,7.82,8.11,8.11,8.11,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.54,7.82,7.82,7.82,7.82,8.11,8.11,7.87
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/4/2 上午 12:00:00,7.82,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,8.11,7.82,8.11,7.82,7.82,7.82,7.82,7.82,8.03
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/4/3 上午 12:00:00,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,8.11,7.82,7.82,7.54,7.82,7.82,7.82,7.82,7.82,7.82
第九河川局,卓樂橋(卓麓(1))               ,2370H004  ,2019/4/4 上午 12:00:00,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,8.11,8.11,8.11,7.82,8.11,8.11,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.82,7.88
